Date,High,Low
2002-11-12,2.72,2.05
2002-11-19,3.06,2.45
2002-11-26,3.09,2.14
2002-12-03,3.09,2.47
2002-12-10,2.92,2.37
2002-12-17,2.84,2.2
2002-12-24,2.75,2.14
2002-12-31,2.94,2.04
2003-01-07,2.81,2.2
2003-01-14,2.63,2.34
2003-01-21,2.8,2.45
2003-01-28,3.13,2.58
2003-02-04,2.96,2.51
2003-02-11,2.92,2.61
2003-02-18,2.72,2.19
2003-02-25,3.01,2.53
2003-03-04,3.13,2.34
2003-03-11,2.92,2.38
2003-03-18,2.68,2.4
2003-03-25,2.85,2.39
2003-04-01,2.99,2.33
2003-04-08,2.97,2.22
2003-04-15,2.91,2.26
2003-04-22,2.75,2.28
2003-04-29,2.82,1.96
2003-05-06,2.91,2.48
2003-05-13,2.99,2.34
2003-05-20,2.96,2.42
2003-05-27,2.58,1.93
2003-06-03,2.9,2.46
2003-06-10,2.9,2.45
2003-06-17,2.58,1.95
2003-06-24,2.95,2.06
2003-07-01,2.54,2.12
2003-07-08,2.92,2.1
2003-07-15,2.45,1.95
2003-07-22,2.57,2.29
2003-07-29,3.07,2.2
2003-08-05,2.57,1.96
2003-08-12,2.85,2.29
2003-08-19,3.05,2.38
2003-08-26,2.64,2.1
2003-09-02,2.89,2.47
2003-09-09,2.89,2.11
2003-09-16,2.82,2.43
2003-09-23,2.69,2.17
2003-09-30,2.82,2.41
2003-10-07,2.62,1.91
2003-10-14,2.95,2.5
2003-10-21,2.85,2.28
2003-10-28,2.98,2.23
2003-11-04,3.07,2.44
2003-11-11,2.91,2.34
2003-11-18,2.66,2.03
2003-11-25,2.63,2.32
2003-12-02,2.75,2.08
2003-12-09,2.78,2.21
2003-12-16,2.79,2.22
2003-12-23,3.01,2.62
2003-12-30,2.8,1.94
2004-01-06,2.72,1.97
2004-01-13,2.55,1.92
2004-01-20,2.74,2.14
2004-01-27,2.76,2.38
2004-02-03,2.75,2.35
2004-02-10,2.9,2.39
2004-02-17,3.13,2.46
2004-02-24,2.5,2.15
2004-03-02,2.88,2.27
2004-03-09,2.81,2.08
2004-03-16,2.92,2.13
2004-03-23,2.7,2.04
2004-03-30,3.0,2.17
2004-04-06,2.62,2.34
2004-04-13,2.75,2.4
2004-04-20,2.61,1.93
2004-04-27,2.94,2.14
2004-05-04,2.73,1.98
2004-05-11,2.96,2.34
2004-05-18,3.04,2.44
2004-05-25,3.06,2.37
2004-06-01,3.09,2.41
2004-06-08,2.77,1.87
2004-06-15,2.61,2.1
2004-06-22,2.77,2.41
2004-06-29,3.0,2.46
2004-07-06,3.19,2.55
2004-07-13,2.69,2.07
2004-07-20,3.18,2.51
2004-07-27,2.98,2.32
2004-08-03,2.57,1.84
2004-08-10,2.74,2.03
2004-08-17,2.53,2.13
2004-08-24,3.19,2.32
2004-08-31,2.92,2.57
2004-09-07,2.68,1.84
2004-09-14,2.77,2.34
2004-09-21,3.08,2.18
2004-09-28,2.8,1.92
2004-10-05,2.64,2.15
2004-10-12,2.64,1.88
2004-10-19,2.96,2.13
2004-10-26,2.61,2.11
2004-11-02,2.79,2.39
2004-11-09,2.9,2.41
2004-11-16,2.95,2.41
2004-11-23,2.72,2.17
2004-11-30,3.06,2.39
2004-12-07,2.87,2.18
2004-12-14,2.66,2.09
2004-12-21,3.01,2.2
2004-12-28,2.84,2.12
2005-01-04,2.91,2.04
2005-01-11,2.49,1.98
2005-01-18,2.42,1.89
2005-01-25,2.78,2.15
2005-02-01,2.82,2.18
2005-02-08,2.89,2.12
2005-02-15,2.9,2.16
2005-02-22,2.45,2.05
2005-03-01,2.86,2.42
2005-03-08,3.02,2.22
2005-03-15,2.73,2.4
2005-03-22,2.62,2.02
2005-03-29,2.98,2.26
2005-04-05,2.96,2.63
2005-04-12,2.73,1.96
2005-04-19,3.04,2.43
2005-04-26,2.81,2.35
2005-05-03,3.15,2.48
2005-05-10,2.79,1.98
2005-05-17,2.73,1.89
2005-05-24,2.81,2.14
2005-05-31,3.08,2.36
2005-06-07,3.03,2.4
2005-06-14,2.7,1.83
2005-06-21,2.75,2.42
2005-06-28,2.64,2.27
2005-07-05,2.61,2.25
2005-07-12,2.79,2.01
2005-07-19,2.77,2.2
2005-07-26,2.8,2.07
2005-08-02,2.68,2.33
2005-08-09,3.07,2.44
2005-08-16,2.65,1.98
2005-08-23,2.64,2.16
2005-08-30,2.66,1.84
2005-09-06,2.85,2.15
2005-09-13,2.83,2.22
2005-09-20,2.51,2.17
2005-09-27,2.96,2.42
2005-10-04,2.66,1.94
2005-10-11,2.97,2.44
2005-10-18,2.57,1.82
2005-10-25,2.97,2.41
2005-11-01,2.58,1.95
2005-11-08,3.04,2.34
2005-11-15,3.15,2.55
2005-11-22,3.04,2.33
2005-11-29,2.68,2.07
2005-12-06,2.77,2.36
2005-12-13,2.81,2.53
2005-12-20,2.49,2.21
2005-12-27,2.75,2.19
2006-01-03,2.75,2.19
2006-01-10,2.83,2.29
2006-01-17,2.71,1.91
2006-01-24,2.86,2.22
2006-01-31,2.86,2.12
2006-02-07,3.1,2.46
2006-02-14,2.84,2.18
2006-02-21,2.65,1.98
2006-02-28,3.01,2.29
2006-03-07,2.59,1.94
2006-03-14,2.48,2.16
2006-03-21,2.86,2.03
2006-03-28,2.71,2.05
2006-04-04,2.82,2.38
2006-04-11,2.98,2.54
2006-04-18,2.59,2.06
2006-04-25,2.99,2.29
2006-05-02,2.46,1.97
2006-05-09,2.63,2.14
2006-05-16,2.89,2.11
2006-05-23,2.88,2.4
2006-05-30,3.01,2.55
2006-06-06,2.65,2.16
2006-06-13,2.85,2.32
2006-06-20,3.05,2.6
2006-06-27,3.03,2.56
2006-07-04,2.75,2.13
2006-07-11,2.94,2.27
2006-07-18,2.74,2.33
2006-07-25,2.61,2.2
2006-08-01,2.99,2.33
2006-08-08,2.91,2.47
2006-08-15,2.8,2.12
2006-08-22,2.8,2.09
2006-08-29,2.71,2.09
2006-09-05,2.8,2.27
2006-09-12,2.94,2.23
2006-09-19,2.95,2.56
2006-09-26,2.51,1.99
2006-10-03,2.59,1.98
2006-10-10,2.63,2.36
2006-10-17,2.82,2.43
2006-10-24,3.05,2.44
2006-10-31,2.81,2.48
2006-11-07,2.97,2.56
2006-11-14,2.84,2.53
2006-11-21,3.24,2.3
2006-11-28,2.67,2.13
2006-12-05,2.71,2.13
2006-12-12,3.18,2.56
2006-12-19,2.76,2.46
2006-12-26,3.0,2.19
2007-01-02,2.98,2.03
2007-01-09,2.91,2.3
2007-01-16,2.51,1.82
2007-01-23,2.95,2.19
2007-01-30,2.79,2.1
2007-02-06,2.81,2.21
2007-02-13,2.98,2.33
2007-02-20,2.77,1.99
2007-02-27,3.16,2.57
2007-03-06,2.88,1.99
2007-03-13,3.17,2.2
2007-03-20,2.66,2.09
2007-03-27,2.54,2.11
2007-04-03,2.68,2.46
2007-04-10,2.77,1.99
2007-04-17,2.77,1.91
2007-04-24,2.95,2.43
2007-05-01,2.67,2.11
2007-05-08,2.59,2.01
2007-05-15,2.82,2.11
2007-05-22,3.08,2.28
2007-05-29,2.7,2.01
2007-06-05,2.76,2.18
2007-06-12,2.67,2.29
2007-06-19,2.92,2.17
2007-06-26,2.93,2.22
2007-07-03,3.07,2.23
2007-07-10,2.9,2.4
2007-07-17,2.78,2.21
2007-07-24,2.63,2.21
2007-07-31,3.02,2.55
2007-08-07,2.84,2.26
2007-08-14,2.87,2.03
2007-08-21,2.44,1.78
2007-08-28,3.17,2.44
2007-09-04,2.8,2.27
2007-09-11,2.51,2.21
2007-09-18,2.75,2.05
2007-09-25,2.79,2.12
2007-10-02,2.63,2.19
2007-10-09,2.77,2.36
2007-10-16,2.84,2.44
2007-10-23,2.63,1.92
2007-10-30,3.11,2.33
2007-11-06,2.65,2.08
2007-11-13,3.03,2.49
2007-11-20,3.0,2.26
2007-11-27,2.95,2.1
2007-12-04,2.46,1.98
2007-12-11,2.84,2.29
2007-12-18,2.85,2.57
2007-12-25,3.07,2.38
2008-01-01,2.82,2.32
2008-01-08,3.12,2.53
2008-01-15,2.45,1.92
2008-01-22,2.8,1.99
2008-01-29,2.87,2.33
2008-02-05,2.66,2.19
2008-02-12,2.59,2.15
2008-02-19,2.67,1.99
2008-02-26,2.81,2.17
2008-03-04,2.74,2.36
2008-03-11,2.77,2.27
2008-03-18,2.91,2.44
2008-03-25,2.75,2.44
2008-04-01,2.72,2.27
2008-04-08,2.62,2.32
2008-04-15,2.52,2.13
2008-04-22,2.8,2.22
2008-04-29,2.72,1.96
2008-05-06,2.75,2.29
2008-05-13,2.79,2.21
2008-05-20,2.8,2.04
2008-05-27,2.5,2.14
2008-06-03,2.51,2.14
2008-06-10,2.65,2.05
2008-06-17,3.07,2.42
2008-06-24,2.71,2.2
2008-07-01,2.89,1.96
2008-07-08,2.99,2.18
2008-07-15,3.03,2.33
2008-07-22,2.65,2.1
2008-07-29,3.14,2.39
2008-08-05,2.93,2.4
2008-08-12,2.86,2.37
2008-08-19,2.99,2.61
2008-08-26,3.06,2.44
2008-09-02,2.47,2.14
2008-09-09,2.76,2.12
2008-09-16,2.8,2.02
2008-09-23,2.72,1.86
2008-09-30,2.41,2.13
2008-10-07,2.79,2.18
2008-10-14,2.82,2.41
2008-10-21,2.7,2.26
2008-10-28,2.94,2.27
2008-11-04,2.74,2.37
2008-11-11,2.76,2.21
2008-11-18,2.99,2.17
2008-11-25,2.53,2.12
2008-12-02,2.94,2.36
2008-12-09,2.66,2.35
2008-12-16,2.5,2.01
2008-12-23,2.75,2.27
2008-12-30,3.15,2.2
2009-01-06,2.96,2.31
2009-01-13,2.85,2.1
2009-01-20,2.36,1.84
2009-01-27,2.74,2.2
2009-02-03,2.96,2.37
2009-02-10,2.97,2.39
2009-02-17,2.87,2.3
2009-02-24,2.7,2.05
2009-03-03,2.9,2.09
2009-03-10,2.43,2.18
2009-03-17,2.86,1.99
2009-03-24,2.83,2.5
2009-03-31,2.81,2.4
2009-04-07,2.78,2.34
2009-04-14,3.02,2.41
2009-04-21,2.79,1.97
2009-04-28,2.77,2.19
2009-05-05,3.17,2.18
2009-05-12,2.51,1.94
2009-05-19,2.74,2.21
2009-05-26,2.47,1.98
2009-06-02,2.61,1.97
2009-06-09,2.98,2.12
2009-06-16,3.04,2.46
2009-06-23,2.86,2.07
2009-06-30,2.6,2.24
2009-07-07,2.54,2.18
2009-07-14,3.05,2.31
2009-07-21,2.64,2.09
2009-07-28,2.57,1.96
2009-08-04,2.51,1.92
2009-08-11,2.66,2.3
2009-08-18,2.92,2.38
2009-08-25,2.9,2.1
2009-09-01,2.78,2.2
2009-09-08,2.64,2.15
2009-09-15,2.86,2.26
2009-09-22,2.82,2.03
2009-09-29,2.99,2.13
2009-10-06,2.96,2.5
2009-10-13,2.53,2.25
2009-10-20,2.89,2.19
2009-10-27,2.85,2.34
2009-11-03,2.9,2.21
2009-11-10,2.76,2.5
2009-11-17,2.77,2.43
2009-11-24,2.58,2.21
2009-12-01,2.62,2.25
2009-12-08,2.97,2.17
2009-12-15,3.19,2.56
2009-12-22,3.21,2.57
2009-12-29,2.82,2.16
2010-01-05,3.08,2.46
2010-01-12,2.92,2.24
2010-01-19,2.79,2.16
2010-01-26,2.87,1.9
2010-02-02,2.45,2.14
2010-02-09,2.8,2.2
2010-02-16,2.51,1.88
2010-02-23,2.8,2.34
2010-03-02,2.92,2.27
2010-03-09,2.61,2.09
2010-03-16,2.85,2.12
2010-03-23,2.99,2.6
2010-03-30,2.65,2.13
2010-04-06,2.88,2.08
2010-04-13,3.18,2.48
2010-04-20,2.78,1.9
2010-04-27,3.0,2.55
2010-05-04,2.92,2.25
2010-05-11,3.02,2.3
2010-05-18,2.71,2.01
2010-05-25,2.97,2.43
2010-06-01,2.74,1.76
2010-06-08,2.91,2.2
2010-06-15,2.51,1.97
2010-06-22,2.67,2.18
2010-06-29,2.51,2.08
2010-07-06,2.99,2.46
2010-07-13,2.78,2.16
2010-07-20,2.84,2.55
2010-07-27,2.48,2.02
2010-08-03,2.81,2.0
2010-08-10,2.77,1.89
2010-08-17,2.95,2.28
2010-08-24,2.52,2.2
2010-08-31,2.9,2.2
2010-09-07,3.12,2.28
2010-09-14,3.0,2.5
2010-09-21,2.67,2.42
2010-09-28,2.81,2.05
2010-10-05,2.61,2.15
2010-10-12,2.73,2.07
2010-10-19,2.97,2.28
2010-10-26,2.79,2.18
2010-11-02,2.8,2.38
2010-11-09,2.77,2.19
2010-11-16,2.6,2.18
2010-11-23,2.94,2.46
2010-11-30,2.83,2.47
2010-12-07,2.66,2.09
2010-12-14,2.57,1.86
2010-12-21,2.89,2.25
2010-12-28,3.04,2.41
2011-01-04,2.95,2.31
2011-01-11,2.81,2.21
2011-01-18,2.7,2.18
2011-01-25,2.58,2.1
2011-02-01,2.91,2.4
2011-02-08,2.43,1.93
2011-02-15,3.01,2.52
2011-02-22,2.62,2.0
2011-03-01,2.94,2.29
2011-03-08,2.85,2.32
2011-03-15,3.04,2.32
2011-03-22,2.94,2.47
2011-03-29,2.78,2.27
2011-04-05,2.52,1.94
2011-04-12,2.74,1.96
2011-04-19,3.17,2.26
2011-04-26,2.97,2.27
2011-05-03,2.77,2.4
2011-05-10,2.9,2.32
2011-05-17,2.66,2.1
2011-05-24,2.94,2.17
2011-05-31,2.97,2.17
2011-06-07,2.52,1.88
2011-06-14,2.85,2.26
2011-06-21,2.96,2.17
2011-06-28,2.73,2.37
2011-07-05,2.51,2.16
2011-07-12,2.63,2.18
2011-07-19,2.75,2.37
2011-07-26,3.04,2.33
2011-08-02,2.52,1.87
2011-08-09,2.55,2.02
2011-08-16,2.89,2.27
2011-08-23,2.77,2.27
2011-08-30,2.88,2.11
2011-09-06,2.69,2.21
2011-09-13,2.47,1.96
2011-09-20,2.79,2.42
2011-09-27,2.71,2.06
2011-10-04,2.8,2.26
2011-10-11,3.07,2.57
2011-10-18,2.94,2.41
2011-10-25,2.76,2.0
2011-11-01,2.73,2.18
2011-11-08,2.9,2.47
2011-11-15,3.13,2.24
2011-11-22,2.76,1.93
2011-11-29,3.01,2.23
2011-12-06,3.12,2.46
2011-12-13,2.85,2.3
2011-12-20,2.85,2.16
2011-12-27,2.77,2.04
2012-01-03,2.93,2.35
2012-01-10,2.85,2.14
2012-01-17,2.74,2.12
2012-01-24,2.69,2.01
2012-01-31,2.88,2.3
2012-02-07,2.78,2.19
2012-02-14,2.8,2.21
2012-02-21,2.85,2.2
2012-02-28,2.83,2.14
2012-03-06,2.78,2.25
2012-03-13,3.01,2.37
2012-03-20,2.74,1.82
2012-03-27,3.1,2.51
2012-04-03,2.59,2.13
2012-04-10,2.38,1.91
2012-04-17,2.55,2.05
2012-04-24,2.68,2.43
2012-05-01,3.03,2.49
2012-05-08,2.85,2.43
2012-05-15,3.06,2.61
2012-05-22,3.19,2.31
2012-05-29,2.58,2.2
2012-06-05,2.73,1.94
2012-06-12,2.9,2.21
2012-06-19,2.98,2.24
2012-06-26,2.87,2.34
2012-07-03,2.59,1.8
2012-07-10,2.73,2.0
2012-07-17,2.59,1.78
2012-07-24,2.86,2.48
2012-07-31,2.56,2.12
2012-08-07,2.96,2.34
2012-08-14,2.66,2.3
2012-08-21,2.96,2.23
2012-08-28,2.78,2.02
2012-09-04,2.77,1.9
2012-09-11,3.0,2.39
2012-09-18,3.14,2.43
2012-09-25,3.13,2.41
2012-10-02,2.67,2.16
2012-10-09,2.88,2.16
2012-10-16,3.02,2.51
2012-10-23,2.5,1.84
2012-10-30,2.49,1.85
2012-11-06,2.68,1.97
2012-11-13,2.63,2.28
2012-11-20,2.7,2.12
2012-11-27,2.88,2.42
2012-12-04,2.68,2.2
2012-12-11,2.94,2.44
2012-12-18,2.84,2.16
2012-12-25,2.92,2.48
2013-01-01,2.62,2.11
2013-01-08,3.13,2.6
2013-01-15,3.08,2.43
2013-01-22,2.57,1.9
2013-01-29,2.66,2.1
2013-02-05,3.0,2.16
2013-02-12,2.81,2.28
2013-02-19,2.73,2.07
2013-02-26,2.66,2.07
2013-03-05,2.83,2.26
2013-03-12,2.87,2.27
2013-03-19,3.0,2.13
2013-03-26,2.89,2.4
2013-04-02,3.18,2.32
2013-04-09,2.58,2.09
2013-04-16,2.58,1.92
2013-04-23,2.69,2.08
2013-04-30,2.81,2.37
2013-05-07,2.94,2.17
2013-05-14,2.85,1.95
2013-05-21,2.86,2.07
2013-05-28,2.7,1.87
2013-06-04,2.79,1.88
2013-06-11,2.72,2.22
2013-06-18,3.06,2.13
2013-06-25,2.77,2.05
2013-07-02,3.0,2.09
2013-07-09,2.62,2.21
2013-07-16,2.97,2.25
2013-07-23,2.49,1.95
2013-07-30,2.63,2.37
2013-08-06,2.48,1.94
2013-08-13,3.09,2.33
2013-08-20,2.75,2.12
2013-08-27,2.77,1.99
2013-09-03,2.8,2.51
2013-09-10,2.82,2.09
2013-09-17,2.68,2.38
2013-09-24,2.68,2.32
2013-10-01,2.71,2.27
2013-10-08,2.63,1.86
2013-10-15,2.74,2.12
2013-10-22,2.86,2.47
2013-10-29,2.94,2.35
2013-11-05,2.7,1.99
2013-11-12,2.77,2.19
2013-11-19,2.73,2.25
2013-11-26,2.55,2.33
2013-12-03,2.65,2.15
2013-12-10,2.78,1.8
2013-12-17,3.15,2.28
2013-12-24,2.6,1.93
2013-12-31,2.92,2.18
2014-01-07,2.76,2.17
2014-01-14,2.77,2.27
2014-01-21,2.88,2.15
2014-01-28,2.9,2.27
2014-02-04,2.91,2.11
2014-02-11,2.47,1.8
2014-02-18,2.73,2.21
2014-02-25,2.86,2.27
2014-03-04,2.84,2.33
2014-03-11,3.01,2.56
2014-03-18,3.11,2.53
2014-03-25,2.76,2.41
2014-04-01,2.65,1.81
2014-04-08,2.59,2.15
2014-04-15,2.88,2.29
2014-04-22,2.52,2.12
2014-04-29,2.97,2.44
2014-05-06,2.53,2.1
2014-05-13,2.84,2.26
2014-05-20,2.75,2.12
2014-05-27,2.83,2.22
2014-06-03,2.69,2.16
2014-06-10,2.94,2.49
2014-06-17,2.71,2.08
2014-06-24,3.08,2.52
2014-07-01,2.75,2.38
2014-07-08,3.21,2.3
2014-07-15,2.71,1.99
2014-07-22,2.57,1.96
2014-07-29,2.88,2.4
2014-08-05,2.66,1.86
2014-08-12,2.82,2.23
2014-08-19,2.67,2.28
2014-08-26,2.83,2.11
2014-09-02,2.49,1.92
2014-09-09,2.88,2.08
2014-09-16,2.82,2.1
2014-09-23,3.14,2.3
2014-09-30,2.44,2.18
2014-10-07,2.72,2.02
2014-10-14,2.62,1.96
2014-10-21,2.95,2.06
2014-10-28,2.49,1.86
2014-11-04,2.85,2.54
2014-11-11,2.8,2.39
2014-11-18,2.67,2.06
2014-11-25,2.89,2.38
2014-12-02,3.06,2.51
2014-12-09,3.16,2.52
2014-12-16,3.08,2.28
2014-12-23,2.54,2.14
2014-12-30,2.98,2.29
2015-01-06,2.69,2.23
2015-01-13,2.9,2.58
2015-01-20,2.8,2.27
2015-01-27,2.82,2.12
2015-02-03,2.88,2.32
2015-02-10,2.42,2.0
2015-02-17,2.77,2.13
2015-02-24,2.86,2.42
2015-03-03,3.08,2.28
2015-03-10,2.8,2.27
2015-03-17,2.77,2.07
2015-03-24,2.84,2.25
2015-03-31,2.79,2.02
2015-04-07,2.7,2.11
2015-04-14,2.94,2.18
2015-04-21,2.78,1.95
2015-04-28,2.42,1.94
2015-05-05,2.93,2.44
2015-05-12,2.66,1.91
2015-05-19,2.8,2.14
2015-05-26,2.82,2.53
2015-06-02,2.82,2.02
2015-06-09,2.97,2.32
2015-06-16,2.97,2.28
2015-06-23,2.97,2.27
2015-06-30,2.76,2.37
2015-07-07,2.75,2.34
2015-07-14,2.92,2.22
2015-07-21,2.99,2.41
2015-07-28,3.06,2.49
2015-08-04,2.51,2.09
2015-08-11,3.11,2.43
2015-08-18,2.67,2.37
2015-08-25,2.84,2.28
2015-09-01,2.77,2.16
2015-09-08,2.56,2.3
2015-09-15,2.82,2.1
2015-09-22,2.78,2.39
2015-09-29,2.87,2.3
2015-10-06,2.59,2.1
2015-10-13,2.91,2.31
2015-10-20,2.9,2.34
2015-10-27,2.7,2.18
2015-11-03,2.62,1.97
2015-11-10,3.13,2.36
2015-11-17,2.83,2.4
2015-11-24,3.0,2.39
2015-12-01,2.88,2.19
2015-12-08,2.94,2.45
2015-12-15,2.93,2.23
2015-12-22,3.2,2.24
2015-12-29,2.6,2.18
2016-01-05,2.94,2.17
2016-01-12,2.71,2.27
2016-01-19,3.01,2.23
2016-01-26,2.82,2.25
2016-02-02,2.67,1.94
2016-02-09,2.53,1.89
2016-02-16,3.04,2.33
2016-02-23,3.02,2.14
2016-03-01,2.98,2.45
2016-03-08,3.07,2.48
2016-03-15,2.62,1.79
2016-03-22,2.91,2.17
2016-03-29,2.91,2.49
2016-04-05,2.81,1.86
2016-04-12,2.93,2.29
2016-04-19,2.52,1.95
2016-04-26,2.85,1.89
2016-05-03,2.53,2.15
2016-05-10,2.81,2.37
2016-05-17,2.75,2.08
2016-05-24,2.8,2.0
2016-05-31,2.89,2.11
2016-06-07,2.57,2.19
2016-06-14,2.44,2.2
2016-06-21,2.86,2.24
2016-06-28,2.58,2.16
2016-07-05,3.07,2.39
2016-07-12,2.83,2.26
2016-07-19,3.02,2.36
2016-07-26,2.81,2.33
2016-08-02,3.22,2.44
2016-08-09,2.75,2.27
2016-08-16,2.64,2.15
2016-08-23,2.6,2.21
2016-08-30,2.74,2.16
2016-09-06,2.81,2.12
2016-09-13,2.48,2.08
2016-09-20,2.58,2.14
2016-09-27,2.67,2.1
2016-10-04,2.61,2.09
2016-10-11,3.03,2.26
2016-10-18,2.52,2.13
2016-10-25,2.63,2.05
2016-11-01,2.69,1.82
2016-11-08,2.49,1.9
2016-11-15,2.69,2.43
2016-11-22,2.81,2.29
2016-11-29,2.7,2.28
2016-12-06,2.83,2.23
2016-12-13,2.79,2.23
2016-12-20,2.56,2.01
2016-12-27,3.09,2.28
2017-01-03,3.01,2.46
2017-01-10,2.79,1.91
2017-01-17,2.75,1.99
2017-01-24,2.62,2.18
2017-01-31,2.9,2.37
2017-02-07,2.71,2.0
2017-02-14,2.62,1.97
2017-02-21,2.6,1.97
2017-02-28,3.17,2.22
2017-03-07,2.68,2.31
2017-03-14,2.68,1.85
2017-03-21,2.95,2.34
2017-03-28,3.03,2.42
2017-04-04,2.89,2.25
2017-04-11,2.72,2.27
2017-04-18,2.92,2.34
2017-04-25,2.77,2.27
2017-05-02,2.84,2.17
2017-05-09,2.8,2.12
2017-05-16,2.68,2.38
2017-05-23,2.85,2.0
2017-05-30,2.75,2.42
2017-06-06,2.75,2.29
2017-06-13,2.75,2.33
2017-06-20,2.8,2.39
2017-06-27,2.69,2.14
2017-07-04,2.45,2.14
2017-07-11,2.71,1.99
2017-07-18,3.15,2.24
2017-07-25,3.11,2.55
2017-08-01,3.05,2.29
2017-08-08,2.56,2.14
2017-08-15,2.72,1.97
2017-08-22,2.51,2.13
2017-08-29,2.96,2.26
2017-09-05,2.63,2.04
2017-09-12,2.71,2.02
2017-09-19,2.97,2.52
2017-09-26,2.63,1.95
2017-10-03,2.68,2.17
2017-10-10,2.65,2.06
2017-10-17,2.61,1.82
2017-10-24,2.65,2.09
2017-10-31,2.59,2.11
2017-11-07,2.59,2.01
2017-11-14,2.84,2.42
2017-11-21,2.48,1.97
2017-11-28,3.0,2.46
2017-12-05,2.91,2.42
2017-12-12,2.81,2.28
2017-12-19,2.49,2.2
2017-12-26,2.65,2.04
2018-01-02,2.88,2.25
2018-01-09,3.03,2.42
2018-01-16,2.82,2.19
2018-01-23,2.76,2.11
2018-01-30,3.06,2.16
2018-02-06,3.05,2.28
2018-02-13,3.11,2.4
2018-02-20,2.77,2.29
2018-02-27,2.73,2.13
2018-03-06,2.64,1.97
2018-03-13,2.8,1.97
2018-03-20,2.76,1.96
2018-03-27,3.16,2.33
2018-04-03,2.78,2.18
2018-04-10,2.63,2.15
2018-04-17,2.64,2.26
2018-04-24,2.82,2.28
2018-05-01,2.93,2.2
2018-05-08,2.84,2.41
2018-05-15,3.09,2.53
2018-05-22,2.98,2.34
2018-05-29,2.87,2.09
2018-06-05,2.84,2.02
